tune,bear,val
22.55263063165446,Kodiak,p
82.06112442587525,Grizzly,g
94.8957988728884,Black,Q
62.18038848300604,Panda,a
41.19384582347789,Black,L
11.232319965271387,Sun,X
85.11257757600849,Panda,R
85.69846024859997,Sloth,N
46.777891017199,Brown,o
9.72382331894951,Black,N
41.585083436775705,Polar,S
70.33643375744613,Brown,B
1.5931544766967898,Sun,u
83.6764830659543,Polar,j
5.727126490680234,Spectacled,r
25.66493753053909,Sun,w
9.502941641006146,Sun,N
29.125619828150118,Sun,g
60.580652388867485,Polar,k
7.364876311536317,Sloth,0
93.27390624233342,Grizzly,{
70.73101581175023,Sloth,1
74.1964283612516,Panda,S
18.61028059617632,Sloth,6
58.673146229481645,Panda,i
33.391499723623106,Sloth,8
14.397509818649246,Panda,0
23.444606760491272,Sloth,T
23.86069207764867,Polar,3
28.762518345733522,Sun,h
57.58013994034409,Polar,R
1.9251891994894854,Kodiak,V
70.42768280451908,Grizzly,3
31.89151472342102,Sloth,I
34.96822138892517,Brown,I
39.22259814093601,Grizzly,Z
62.68869175954501,Polar,A
73.15439882900598,Spectacled,I
18.8300019901403,Sloth,E
52.845457257954166,Grizzly,O
12.084807651167463,Sloth,1
57.656759494182374,Spectacled,d
44.55105627313798,Sloth,B
70.37241387869372,Grizzly,s
64.99873644251669,Kodiak,w
11.452040261057217,Kodiak,l
27.369123340017133,Kodiak,A
2.726316670142792,Sloth,v
52.295673693468125,Brown,g
0.32374837717923377,Polar,3
18.97546040744652,Grizzly,S
38.970361344507396,Spectacled,7
89.89404650041509,Spectacled,1
71.42689760984511,Black,L
87.81497376546928,Kodiak,g
45.153683836247346,Polar,4
11.468664432247365,Sloth,0
99.2874041267458,Kodiak,1
25.087238597012472,Grizzly,m
63.28018149627408,Spectacled,f
78.9048805829252,Sloth,Q
52.29511765083272,Grizzly,j
83.16824170673218,Black,q
24.712593424522677,Kodiak,8
91.10921185403375,Black,n
87.68132333824624,Black,e
99.24049115754117,Brown,7
95.23854153304863,Brown,R
70.72362437703131,Polar,g
80.79397910199562,Black,Z
78.19427057550709,Black,g
51.561069301626105,Panda,s
99.76235108067911,Spectacled,d
46.15643058058511,Grizzly,6
68.25960826064062,Grizzly,q
6.630279315931875,Brown,s
46.978043372437874,Sun,}
90.74305932131008,Polar,M
65.28695642157471,Polar,O
31.362482582571715,Grizzly,A
14.507782962789806,Kodiak,7
39.28529101296149,Brown,y
46.45544251338617,Sun,x
50.05712102659439,Sun,h
66.17460855242466,Panda,w
2.9511799935863725,Panda,7
66.729721123381,Spectacled,7
60.726642192880185,Polar,A
7.117233885227403,Spectacled,Q
6.171176011324631,Sloth,8
44.86787678073273,Spectacled,p
95.80449301785154,Kodiak,h
89.32545375467713,Panda,D
19.680457155784904,Grizzly,8
2.0769591255251574,Polar,S
